category,Food Name,calories,protein,fat,carbohydrate,Food_Exchange
grain,"멥쌀, 일품벼, 백미, 생것",353,5.7,0.1,78.5,29.3
grain,"멥쌀, 일품벼, 현미, 생것",363,7.4,2,77.8,29.6
grain,"멥쌀, 중국산, 백미, 생것",361,6.7,0.4,78.9,29.2
grain,"멥쌀, 추청벼, 백미, 생것",373,6.7,0.6,81.4,28.3
grain,"멥쌀, 추청벼, 현미, 생것",362,6.4,2.7,76.9,29.9
grain,"멥쌀, 큰눈벼, 백미, 생것",375,6.3,1,81.4,28.3
grain,"멥쌀, 큰눈벼, 현미, 생것",371,7.3,3,77.9,29.5
grain,"멥쌀, 태국산, 백미, 생것",366,7,0.2,80.1,28.7
grain,"멥쌀, 통일벼, 백미, 생것",375,8.3,0.6,80.3,28.6
grain,"멥쌀, 통일벼, 현미, 생것",362,8.9,1.6,77.2,29.8
grain,"멥쌀, 하이아미, 백미, 생것",367,5.5,0.9,80.3,28.6
grain,"멥쌀, 향미벼, 백미, 생것",368,7,0.6,79.9,28.8
grain,"멥쌀, 호주산, 백미, 생것",371,6.4,0.3,81.7,28.2
grain,"멥쌀, 흑미벼, 현미, 생것",356,7.59,2.31,75.31,30.5
grain,"멥쌀, 흑진주벼, 현미, 생것",369,7.9,2.6,77.7,29.6
grain,"멥쌀, 히토메보레, 백미, 생것",364,6.5,0.3,80,28.8
grain,"멥쌀, 골든퀸3호, 백미, 생것",354,6.07,0.67,77.27,29.8
grain,"멥쌀, 골든퀸3호, 현미, 생것",356,6.16,2.01,77.24,29.8
grain,"멥쌀, 호품벼, 백미, 생것",354,5.91,0.73,77.2,29.8
grain,"멥쌀, 호품벼, 현미, 생것",343,6.3,1.94,73.89,31.1
grain,멥쌀 과자,469,3.2,15.9,78.2,29.4
grain,"멥쌀 과자, 튀밥, 팽화",393,8.7,3.9,80.7,28.5
grain,"멥쌀 과자, 쌀엿강정, 팽화",395,4.11,2.13,89.96,25.6
grain,"멥쌀 국수, 말린것",340,9.1,1.5,72.6,31.7
grain,"멥쌀떡, 가래떡",213,3.71,0.37,48.8,47.1
grain,"멥쌀떡, 가래떡, 흑미",205,3.5,0,47.8,48.1
grain,"멥쌀떡, 개피떡",207,4.3,0.8,45.6,50.4
grain,"멥쌀떡, 개피떡, 쑥",206,4.5,0.8,45.2,50.9
grain,"멥쌀떡, 꿀떡",210,3.09,1.46,46.14,49.8
grain,"멥쌀떡, 무지개떡",229,3.5,0.3,53,43.4
grain,"멥쌀떡, 백설기",228,3.6,0.4,52.5,43.8
grain,"멥쌀떡, 백설기, 검정콩",229,5.75,1.46,48.31,47.6
grain,"멥쌀떡, 송편, 검정콩",200,6.9,0.8,41.2,55.8
grain,"멥쌀떡, 송편, 팥",200,5.4,0.4,43.6,52.8
grain,"멥쌀떡, 송편, 깨",224,5.9,2.74,44.01,52.3
grain,"멥쌀떡, 모싯잎송편, 동부(국내산)",190,5.28,0.65,40.64,56.6
grain,"멥쌀떡, 모싯잎송편, 동부(수입산)",190,6.03,0.67,39.89,57.7
grain,"멥쌀떡, 시루떡",183,5.83,0.41,38.94,59.1
grain,"멥쌀떡, 절편",215,3.69,0.49,49.04,46.9
grain,"멥쌀떡, 증편",198,2.99,0.57,45.23,50.9
grain,"멥쌀떡, 증편, 건포도, 깨",191,3.04,0.29,44.07,52.2
grain,"멥쌀미음, 백미",21,0.3,0,4.7,489.4
grain,"멥쌀미음, 칠분도미",21,0.3,0.1,4.6,500.0
grain,"멥쌀미음, 현미",20,0.4,0.1,4.4,522.7
grain,"멥쌀밥, 쪄서 말린것",373,5.2,0.1,83.7,27.5
grain,"멥쌀밥, 누룽지",393,6.8,0.2,86.8,26.5
grain,"멥쌀밥, 백미",152,3,0.1,33.2,69.3
grain,"멥쌀밥, 칠분도미",168,2.6,0.5,36.7,62.7
grain,"멥쌀밥, 현미",167,3.3,0.2,37.3,61.7
grain,"멥쌀밥, 농림나1호, 백미",213,2.2,0.1,48.5,47.4
grain,"멥쌀밥, 농림나1호, 칠분도미",205,2.5,0.2,46.2,49.8
grain,"멥쌀밥, 농림나1호, 현미",201,2.8,0.2,46.1,49.9
grain,"멥쌀밥, 밭벼, 백미",168,3.5,0.3,36.1,63.7
grain,"멥쌀밥, 밭벼, 칠분도미",168,3.6,0.5,35.7,64.4
grain,"멥쌀밥, 밭벼, 현미",164,4.1,1,34.3,67.1
grain,"멥쌀밥, 새추청벼, 백미",153,2.5,0.1,33.8,68.0
grain,"멥쌀밥, 수라벼, 백미",159,2.4,0,35.7,64.4
grain,"멥쌀밥, 일품벼, 백미",156,2.6,0.1,34.6,66.5
grain,"멥쌀밥, 추청벼, 백미",151,2.4,0,33.7,68.2
grain,"즉석밥, 누룽지",415,6.64,0.84,90.98,25.3
grain,"즉석밥, 누룽지, 끓는물 부음",69,1.32,0.1,15.06,152.7
grain,"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",150,2.83,0.38,33.76,68.1
grain,"즉석밥, 백미",152,2.11,0.28,33.59,68.5
grain,"멥쌀죽, 백미",71,1.4,0,15.6,147.4
grain,"멥쌀죽, 현미",70,1.2,0.4,15.2,151.3
grain,"멥쌀죽, 칠분도미",71,1.1,0.2,15.6,147.4
grain,"밀, 통밀, 생것",342,13.2,1.5,74.6,30.8
grain,"밀, 도정, 생것",333,10.6,1,75.8,30.3
grain,"밀, 강력밀가루",334,13.59,1.11,72.89,31.6
grain,"밀, 금강밀, 도정, 생것",329,13.06,1.28,71.7,32.1
grain,"밀, 도우넛가루",404,8.5,6.8,73.9,31.1
grain,"밀, 박력밀가루",374,9.15,0.94,77.73,29.6
grain,"밀, 부침가루",368,9.8,0.98,75.52,30.5
grain,"밀, 빵가루",392,11.95,2.05,77.04,29.9
grain,"밀, 신미찰밀, 도정, 생것",334,11.3,1.6,74.2,31.0
grain,"밀, 중력밀가루",375,10.34,1.01,76.64,30.0
grain,"밀, 통밀가루 ",365,11.9,1.6,71.5,32.2
grain,"밀, 튀김가루",367,7.22,0.8,78.41,29.3
grain,"밀, 팬케이크가루",394,7.9,4.9,75.9,30.3
grain,"밀, 흑밀, 도정, 생것",328,12.9,0.9,72.5,31.7
grain,"밀, 카무트, 미국산, 말린것",334,13.74,1.91,71.16,32.3
grain,"과자, 건빵",419,9.92,8.67,75.37,30.5
grain,"과자, 만주, 밤",330,6.35,2.39,70.86,32.5
grain,"과자, 모나카",346,3.35,0.29,82.62,27.8
grain,"과자, 비스킷, 하드",534,6.68,28.58,62.63,36.7
grain,"과자, 비스킷, 소프트",489,5.7,24.93,60.34,38.1
grain,"과자, 사과파이",471,5.5,21,64.98,35.4
grain,"과자, 전병",398,7.5,3.5,84,27.4
grain,"과자, 김전병",420,6.7,6.9,82.8,27.8
grain,"과자, 스넥, 새우",494,6.04,22.77,66.32,34.7
grain,"과자, 스넥, 옥수수",520,5.25,26.27,65.73,35.0
grain,"과자, 약과",422,3.8,13.3,71.7,32.1
grain,"과자, 대추꿀약과",428,4.5,16.3,65.7,35.0
grain,"과자, 와플 ",291,7.9,14.1,32.9,69.9
grain,"과자, 잼 와플",287,4.8,4.2,57.3,40.1
grain,"과자, 커스터드 크림 와플",252,7.3,7.9,38.1,60.4
grain,"과자, 바닐라 웨하스",521,4.1,26.9,65.6,35.1
grain,"과자, 초코볼",501,4.3,22.5,70.2,32.8
grain,"과자, 초코파이",428,4.29,15.57,67.59,34.0
grain,"과자, 쿠키, 통밀",471,6.48,17.17,72.73,31.6
grain,"과자, 쿠키, 땅콩버터",493,8.36,20.87,67.97,33.8
grain,"과자, 쿠키, 초코칩",494,5.92,20.55,71.38,32.2
grain,"과자, 쿠키, 버터",512,6.37,24.52,66.47,34.6
grain,"과자, 크랙커",513,7,27.8,58.8,39.1
grain,"과자, 크랙커, 땅콩샌드",524,7.66,26.24,64.23,35.8
grain,"과자, 크랙커, 치즈샌드",497,6.08,22.23,68.24,33.7
grain,"과자, 크랙커, 채소",506,7.38,22.62,68.26,33.7
grain,"과자, 피칸파이",360,8,17.2,43.2,53.2
grain,"과자, 뻥튀기, 원반 모양, 팽화",383,11.06,1.07,82.29,27.9
grain,"과자, 마카로니 과자, 튀긴것",457,11.5,13.96,71.28,32.3
grain,"국수, 생것",291,7.25,0.87,60.09,38.3
grain,"국수, 소면, 말린것",370,10.36,1.27,74.86,30.7
grain,"국수, 소면, 말린것, 삶은것",126,3.55,0.48,25.31,90.9
grain,"국수, 우동, 생것",164,3.33,1.25,33.09,69.5
grain,"국수, 우동, 생것, 삶은것",139,2.95,0.46,29.12,79.0
grain,"국수, 중국국수, 생면",281,8.6,1.2,55.7,41.3
grain,"국수, 중국국수, 생면, 삶은것",149,4.9,0.6,29.2,78.8
grain,"국수, 중국국수, 말린것",356,10.3,5.2,67.1,34.3
grain,"국수, 중국국수, 말린것, 삶은것",148,5.2,0.6,28.6,80.4
grain,"국수, 중국국수, 증숙, 생것",198,5.3,1.7,38.4,59.9
grain,"국수, 중면, 말린것",366,10.4,1.21,73.94,31.1
grain,"국수, 중면, 말린것, 삶은것",120,3.55,0.4,24.04,95.7
grain,"국수, 쫄면, 말린것",348,9.16,1.08,71.29,32.3
grain,"국수, 칼국수, 생것",303,7.25,0.87,63.02,36.5
grain,"국수, 칼국수, 생것, 삶은것",140,3.49,0.43,28.98,79.4
grain,"국수, 칼국수 , 반건조",281,6.4,1.4,57.5,40.0
grain,"라면, 말린것",445,8.23,14.28,69.05,33.3
grain,"라면, 말린것, 삶은것",175,3.61,4.17,29.65,77.6
grain,"빵, 건포도빵",269,8.2,3.5,51.1,45.0
grain,"빵, 곰보빵",415,9.5,14.54,61.44,37.4
grain,"빵, 꽈배기",404,7.9,20.4,47.2,48.7
grain,"빵, 팥 도우넛",347,6.6,15.3,45.7,50.3
grain,"빵, 링 도우넛",426,7.3,26,40.6,56.7
grain,"빵, 하드 롤빵",293,9.9,4.3,52.7,43.6
grain,"빵, 소프트 롤빵",316,10.1,9,48.6,47.3
grain,"빵, 마늘빵",424,9.8,17.2,57.5,40.0
grain,"빵, 우유 머핀",296,6.9,11.4,41.4,55.6
grain,"빵, 잉글리쉬 머핀",235,7.7,1.8,46,50.0
grain,"빵, 모닝빵",316,9.06,4.91,58.99,39.0
grain,"빵, 모카빵",354,8.31,7.53,63.29,36.3
grain,"빵, 바게트빵",279,9.4,1.3,57.5,40.0
grain,"빵, 달걀 베이글",278,10.6,2.1,53,43.4
grain,"빵, 식빵",279,9.01,4.91,49.68,46.3
grain,"빵, 식빵, 베타카로틴 첨가",266,9.35,3.5,49.37,46.6
grain,"빵, 식빵, 옥수수",270,9.44,3.42,50.45,45.6
grain,"빵, 우유 식빵",285,9.1,6,48.7,47.2
grain,"빵, 옥수수빵",321,7.4,10.2,49.1,46.8
grain,"빵, 잼빵",297,6.6,5.8,54.5,42.2
grain,"빵, 찐빵, 팥",213,5.96,1.29,44.36,51.8
grain,"빵, 채소 찐빵",231,8.1,5.5,37.3,61.7
grain,"빵, 단호박 찐빵",239,5.4,0.9,52.4,43.9
grain,"빵, 카스텔라",299,6.91,3.72,59.46,38.7
grain,"빵, 크로와상",448,7.9,26.8,43.9,52.4
grain,"빵, 버터 크로와상",406,8.2,21,45.8,50.2
grain,"빵, 크로켓",307,6,18.2,29.7,77.4
grain,"빵, 채소 크로켓",301,7.1,16.4,31.2,73.7
grain,"빵, 크림빵",275,6,7.7,45.5,50.5
grain,"빵, 버터 크림빵",383,8.2,18.4,46.2,49.8
grain,"빵, 팥빵",253,7.57,3.17,48.51,47.4
grain,"빵, 페이스트리",457,8.6,26.3,46.5,49.5
grain,"빵, 치즈 페이스트리",374,8,21.9,37.2,61.8
grain,"빵, 과일 페이스트리",371,5.4,18.5,47.8,48.1
grain,"빵, 붕어빵, 팥",254,4.81,6.44,44.12,52.1
grain,"빵, 소시지빵",323,10.59,16.52,33,69.7
grain,"빵, 난",262,10.3,3.4,47.6,48.3
grain,"케이크, 과일(후르츠)",324,2.9,9.1,61.6,37.3
grain,"케이크, 롤케이크",369,7.51,20.22,39.24,58.6
grain,"케이크, 배 케이크",296,6.2,10.8,43.5,52.9
grain,"케이크, 생크림 블루베리",280,3.03,18.88,24.39,94.3
grain,"케이크, 쇼튼드 케이크",327,7.1,13.8,43.6,52.8
grain,"케이크, 스펀지 케이크",352,6.6,15.2,47.2,48.7
grain,"케이크, 엔젤푸드 케이크",258,5.9,0.8,57.8,39.8
grain,"케이크, 초콜릿 케이크",417,5.23,22.09,49.31,46.6
grain,"케이크, 치즈 케이크",331,5.87,21.32,28.82,79.8
grain,"케이크, 파운드 케이크",408,5.66,20.71,49.65,46.3
grain,"케이크, 팬케이크",227,6.4,9.7,28.3,81.3
grain,"파스타, 마카로니, 말린것",380,12.2,0.4,77.1,29.8
grain,"파스타, 마카로니, 말린것, 삶은것",126,3.8,0.2,25.8,89.1
grain,"파스타, 스파게티, 말린것",365,11.78,1.28,76.64,30.0
grain,"파스타, 스파게티, 말린것, 삶은것",129,3.8,0,26.9,85.5
grain,"보리, 두산8호, 도정, 생것",352,10,1,78,29.5
grain,"보리, 서둔찰보리, 도정, 생것",354,9.7,1.1,78.5,29.3
grain,"보리, 쌀보리, 도정, 생것",342,9.3,1.81,74.39,30.9
grain,"보리, 겉보리, 압맥",343,8.74,1.66,75.38,30.5
grain,"보리, 겉보리, 할맥",354,9.3,1.67,77.71,29.6
grain,"보리, 볶은것",360,12.7,2.6,74.1,31.0
grain,"보리, 가루",357,11.16,1.83,76.48,30.1
grain,"보리, 껍질 포함, 가루",364,10.95,2.99,76.09,30.2
grain,"보리, 미숫가루",398,14.52,5.48,76.17,30.2
grain,"보리, 엿기름, 말린것",358,14.65,2.71,71.68,32.1
grain,"보리, 찰보리, 도정, 생것",346,11.87,2.15,72.29,31.8
grain,"보리, 늘보리, 도정, 생것",346,9.79,1.77,75.08,30.6
grain,"보리, 찰보리, 할맥",362,8.5,1,82,28.0
grain,"수수, 통수수, 생것",360,10.5,3.1,76.5,30.1
grain,"수수, 도정, 생것",338,9.85,2.96,71.5,32.2
grain,"수수, 찰수수, 도정, 생것",353,9.7,1.2,79.2,29.0
grain,"수수떡, 수수경단",218,8.2,1.4,43.1,53.4
grain,"시리얼, 옥수수, 아몬드",426,7.3,9.29,78.18,29.4
grain,"시리얼, 옥수수",378,5.11,0.59,88.05,26.1
grain,"시리얼, 현미",394,6.8,2.79,85.33,27.0
grain,"시리얼, 옥수수, 그래놀라, 코코넛 ",434,5.56,9.75,80.93,28.4
grain,"시리얼, 옥수수, 그래놀라, 건조과일 ",395,5.81,3.65,84.66,27.2
grain,"시리얼, 쌀",390,6.65,1.68,86.99,26.4
grain,"시리얼, 코코아",407,6.08,4.34,85.78,26.8
grain,"아마란스, 노란색, 건조",383,17.09,5.94,67.27,34.2
grain,"아마란스, 붉은색, 건조",381,16.47,5.78,67.59,34.0
grain,"옥수수, 단옥수수, 생것",109,3.8,0.5,23.4,98.3
grain,"옥수수, 단옥수수, 찐것",135,4.2,0.7,29.1,79.0
grain,"옥수수, 메옥수수, 생것",178,5.34,2.06,36.26,63.4
grain,"옥수수, 메옥수수, 말린것",348,9.7,3.8,71.9,32.0
grain,"옥수수, 메옥수수, 찐것",173,5.11,2.19,34.89,65.9
grain,"옥수수, 메옥수수, 구운것",372,8.9,3.9,78.3,29.4
grain,"옥수수, 찰옥수수, 생것",142,4.9,1.2,29.4,78.2
grain,"옥수수, 찰옥수수, 말린것",371,11.5,4.6,74.7,30.8
grain,"옥수수, 찰옥수수, 찐것",132,6.6,1.4,25.4,90.6
grain,"옥수수, 가루",364,7.32,0.97,83.3,27.6
grain,"옥수수, 크림, 통조림",84,1.7,0.5,18.6,123.7
grain,"옥수수, 홀커넬, 통조림",82,2.3,0.5,17.8,129.2
grain,"옥수수, 가당, 통조림",105,2.07,0.73,22.45,102.4
grain,"옥수수 과자, 강냉이",401,7.16,3.25,87.9,26.2
grain,"옥수수 과자, 콘칩",538,6.17,33.36,56.9,40.4
grain,"옥수수 과자, 팝콘",536,7.6,30.6,57.6,39.9
grain,"옥수수 과자, 팝콘, 전자레인지 조리",497,8.12,27.28,61.18,37.6
grain,"옥수수 과자, 팝콘, 말린것",373,11.5,4.1,76.3,30.1
grain,옥수수 묵,55,1.1,0,12.6,182.5
grain,"옥수수 샐러드, 콘샐러드",104,3.2,0.2,22.4,102.7
grain,"율무, 도정, 생것",377,15.4,3.2,70.5,32.6
grain,"율무 국수, 말린것",368,13.2,1.2,74.6,30.8
grain,율무죽,44,0.5,0.4,9.5,242.1
grain,"잡곡, 현미, 찹쌀, 현미찹쌀, 보리 등 생것",358,9.79,2.09,73.4,31.3
grain,"조, 메조, 도정, 생것",372,10.7,3.7,72.81,31.6
grain,"조, 메조, 도정, 찐것",115,3.14,1.13,22.71,101.3
grain,"조, 차조, 도정, 생것",360,9.58,3.59,71.14,32.3
grain,"찹쌀, 가루",375,6.44,0.57,82.08,28.0
grain,"찹쌀, 백미, 생것",377,7.4,0.4,81.9,28.1
grain,"찹쌀, 현미, 생것",361,7.3,2.8,75.7,30.4
grain,"찹쌀, 찹쌀미숫가루 ",386,9,1.7,83.6,27.5
grain,"찹쌀, 화선찰벼, 백미, 생것",375,9.5,2.6,75.2,30.6
grain,"찹쌀, 동진찰벼, 백미, 생것",363,6.64,1.04,78.16,29.4
grain,"찹쌀, 동진찰벼, 현미, 생것",357,7.14,2.18,76.22,30.2
grain,"찹쌀 과자, 검정깨 다식",475,13.8,25.2,48.3,47.6
grain,"찹쌀 과자, 송화 다식",343,4.4,2.3,76.1,30.2
grain,"찹쌀 과자, 산자",417,2,11.8,75.6,30.4
grain,"찹쌀 과자, 유과",411,1.96,10.37,77.49,29.7
grain,"찹쌀 과자, 전병",446,7.8,10.7,79.6,28.9
grain,"찹쌀 국수, 흑미찰국수",334,8.1,0.3,74.6,30.8
grain,찹쌀떡,246,4.81,1.75,52.65,43.7
grain,"찹쌀떡, 경단 카스텔라",237,4.1,1.8,51.1,45.0
grain,"찹쌀떡, 모듬찰떡",223,5.7,1.2,47.4,48.5
grain,"찹쌀떡, 약식",244,3.7,2.2,52.3,44.0
grain,"찹쌀떡, 인절미, 팥고물",204,4.2,0.9,44.8,51.3
grain,"찹쌀떡, 인절미, 콩고물",231,5.52,1.15,49.69,46.3
grain,"찹쌀떡, 찰시루떡",181,6.63,0.41,37.63,61.1
grain,"찹쌀빵, 찹쌀도우넛",296,5,5.3,57.1,40.3
grain,"퀴노아, 쪄서 말린것",364,9.56,3.26,72.66,31.7
grain,"피, IEC525(NO.5), 도정, 생것",376,8.5,4.6,73.9,31.1
grain,"호밀, 가루 ",351,8.5,1.6,75.8,30.3
grain,"호밀, 통호밀, 생것",334,15.9,1.5,70.7,32.5
grain,호밀빵,264,8.4,2.2,52.7,43.6
grain,"감자, 대지, 생것",67,2.01,0.04,15.08,152.5
grain,"감자, 대지, 삶은것",77,2.07,0.08,17.39,132.3
grain,"감자, 대지, 찐것",80,2.11,0.09,18.17,126.6
grain,"감자, 대지, 구운것",90,2.43,0.09,20.5,112.2
grain,"감자, 부침가루 ",355,12.1,1.4,73.6,31.3
grain,"감자, 수미, 생것",70,1.93,0.03,16.07,143.1
grain,"감자, 수미, 삶은것",76,1.99,0.04,17.43,132.0
grain,"감자, 수미, 찐것",75,1.94,0.05,17.28,133.1
grain,"감자, 수미, 구운것",85,2.3,0.08,19.38,118.7
grain,"감자, 자색, 생것",82,2.8,0,18.5,124.3
grain,"감자, 자색, 찐것",85,2.3,0,19.5,117.9
grain,"감자, 자심, 생것",64,1.8,0,14.7,156.5
grain,"감자, 보라밸리, 생것",60,1.45,0.02,13.79,166.8
grain,"감자, 보라밸리, 삶은것",69,1.39,0.05,15.97,144.0
grain,"감자, 로즈, 생것",68,2.25,0.03,15.18,151.5
grain,"감자, 로즈, 삶은것",79,2.34,0.09,17.87,128.7
grain,"감자 과자, 감자칩, 구운것",469,5,18.2,71.4,32.2
grain,"감자 과자, 감자칩, 튀긴것",536,4.95,30.33,60.92,37.8
grain,"감자 튀김, 튀긴것",293,3.54,11.3,44.16,52.1
grain,"감자 튀김, 해쉬브라운, 튀긴것",219,2.65,11.59,28.51,80.7
grain,감자 샐러드,143,2.68,8.2,11.17,205.9
grain,으깬감자,83,1.91,0.57,17.57,130.9
grain,"고구마, 말린것",312,2.3,0.1,75.7,30.4
grain,"고구마, 찐것",130,1.5,0,31.3,73.5
grain,"고구마, 베니하루까, 생것",147,1.03,0.45,34.91,65.9
grain,"고구마, 분질(밤) 고구마, 생것",154,1.01,0.11,37.19,61.8
grain,"고구마, 분질(밤) 고구마, 찐것",169,1.07,0.15,40.92,56.2
grain,"고구마, 분질(밤) 고구마, 구운것",189,1.01,0.16,45.96,50.0
grain,"고구마, 신율미, 생것",164,1,0.61,38.84,59.2
grain,"고구마, 신자미, 생것",107,1.3,0.1,25.5,90.2
grain,"고구마, 연황미, 생것",127,1.1,0,30.7,74.9
grain,"고구마, 점질(호박) 고구마, 생것",141,1.17,0.2,33.77,68.1
grain,"고구마, 점질(호박) 고구마, 찐것",157,1.1,0.15,37.91,60.7
grain,"고구마, 점질(호박) 고구마, 구운것",186,1.25,0.16,44.98,51.1
grain,"고구마, 주황미, 생것",105,1,0.1,25.1,91.6
grain,"고구마, 진홍미, 생것",140,1.2,0,33.8,68.0
grain,"당면, 고구마, 말린것",358,0.08,0.07,88.75,25.9
grain,"당면, 고구마, 삶은것",123,0.03,0.04,30.38,75.7
grain,"당면, 고구마, 감자, 말린것",350,0,0.2,86.6,26.6
grain,"곤약(구약나물), 가루 ",177,3,0.1,85.3,27.0
grain,"곤약(구약나물), 국수형, 생것",6,0.2,0,3,766.7
grain,"곤약(구약나물), 판형, 생것",6,0.12,0.01,3.06,751.6
grain,"돼지감자, 생것",35,2.18,0.09,14.92,154.2
grain,"돼지감자, 말린것",172,10.43,0.46,74.35,30.9
grain,"돼지감자, 삶은것",39,2.23,0.11,17.16,134.0
grain,"마, 단마, 생것",63,1.84,0.12,14.05,163.7
grain,"마, 장마, 생것",45,1.56,0.28,9.55,240.8
grain,"마, 장마, 삶은것",49,1.47,0.25,10.51,218.8
grain,"마, 둥근마, 생것",152,3.56,0.98,33.24,69.2
grain,"아피오스감자, 생것",175,6.1,0.5,38.2,60.2
grain,"야콘, 뿌리, 생것",62,0.7,0.1,14.7,156.5
grain,"전분, 감자, 가루",334,0.07,0.02,82.7,27.8
grain,"전분, 고구마, 가루 ",342,0.1,0.2,84.4,27.3
grain,"전분, 밀, 가루",351,0.2,0.5,86,26.7
grain,"전분, 쌀, 가루",366,0.2,0.7,89.3,25.8
grain,"전분, 옥수수, 가루",366,0.19,0.56,89.6,25.7
grain,"전분, 옥수수, 밀, 가루 ",379,0.3,0,93.8,24.5
grain,"전분, 졸참도토리, 가루 ",325,0.4,0.1,80.1,28.7
grain,"전분, 종가시도토리, 가루 ",332,2.3,1.7,77.3,29.8
grain,"전분, 칡뿌리, 가루",347,0.2,0.2,85.6,26.9
grain,"천마, 생것",77,0.9,0,18.5,124.3
grain,"천마, 찐것",81,1.1,0,19.3,119.2
grain,"칡뿌리, 생것",137,2.48,0.1,32.05,71.8
grain,칡즙,21,0.44,0,4.91,468.4
grain,"토란, 생것",71,2.08,0.14,15.77,145.8
grain,"토란, 삶은것",73,2.17,0.18,16.28,141.3
grain,"토란, 찐것",76,2.4,0.17,16.75,137.3
grain,"히카마(얌빈), 생것",44,0.68,0.06,10.36,222.0
grain,"히카마(얌빈), 삶은것",45,0.39,0.06,10.66,215.8
grain,"강낭콩, 생것",172,8.8,0.86,32.38,71.0
grain,"강낭콩, 말린것",350,21.2,1.1,63.9,36.0
grain,"강낭콩, 삶은것",170,8.46,0.9,31.9,72.1
grain,"녹두, 말린것",352,24.51,1.52,60.15,38.2
grain,"녹두, 삶은것",158,11.29,0.67,26.66,86.3
grain,"녹두 빈대떡, 가루 ",347,20.7,1.2,63.4,36.3
grain,"녹두 빈대떡가루, 반죽",98,6.2,0.6,17,135.3
grain,"녹두 국수, 말린것",356,0.2,0.4,87.5,26.3
grain,녹두묵,36,0.1,0,9,255.6
grain,"동부, 생것",163,11.2,0.3,28.4,81.0
grain,"동부, 말린것",349,18.88,1.82,64.23,35.8
grain,"동부, 삶은것",147,8.12,1.03,26.4,87.1
grain,"동부, 미얀마산, 말린것",345,22.08,2.07,59.43,38.7
grain,"동부, 미얀마산, 삶은것",155,10.02,1.12,26.28,87.5
grain,"리마콩, 말린것",351,21.9,1.8,60.8,37.8
grain,"리마콩, 삶은것",152,9.6,0.9,26,88.5
grain,"렌즈콩(렌틸콩), 인도산, 빨간색, 말린것",359,22.22,1.68,63.63,36.1
grain,"렌즈콩(렌틸콩), 인도산, 갈색, 말린것",359,21.01,1.43,65.42,35.2
grain,"병아리콩, 인도산, 말린것",373,17.27,5.66,63.14,36.4
grain,"완두, 생것",114,7.92,0.44,19.51,117.9
grain,"완두, 말린것",363,20.7,1.3,67.1,34.3
grain,"완두, 삶은것",122,7.27,1.1,20.78,110.7
grain,"작두(도두), 생것",125,9,0.3,21.5,107.0
grain,"작두(도두), 말린것",344,26.3,1,57.4,40.1
grain,"잠두, 생것",341,26.12,1.53,58.29,39.5
